Día	Punchaw
Sarampión	Ruru unquy
El bebé murió por el sarampión.	Wawacham wañurqun ruru unquywan.
Riñón	Ruru
La gallina no tiene riñones.	Wallpapaqa manam rurun kanchu.
Primer corte de pelo.	Rutuchiy,
Mañana será el corte de pelo de mi hermano menor.	Paqarinmi sullka turiypa rutuchiynin kanqa.
Hoz	Rutuna
Segadora	Rutuna
¡Alcánzame la hoz!	¡Rutunata haywamuway!
Esquilar	Rutuy
Cortar	Rutuy
Van a esquilar la lana de la llama para venderla.	Llamapa millwantam rantikunankupaq rutunqaku.
Corta el maíz con la hoz.	Rutunawan sarata rutumun.
Esfera	Ruyru
La tierra tiene la forma de una esfera.	Tiqsi muyu pachanchikqa ruyrum.
Árbol	Sacha
Del árbol de molle hacen leña.	Mulli sachamanta yantata ruranku.
Bosque	Sacha sacha
La selva tiene muchos árboles.	Yunkaqa sacha sachallam.
Azufre	Salli
Para engordar al chancho le dan de comer azufre.	Kuchi wirayananpaq sallitam mikuchinku.
Cordillera	Sallqa
Puna	Sallqa
Los habitantes de la puna hacen chuño.	Sallqa runakunaqa chuñutam ruranku.
Respirar	Samay
Echar el aliento.	Samay
¡Respira por la nariz y no por la boca!	¡Sinqanta samay ama simintaqa!
Liviano	Sampa
¡Trae el tronco liviano!	Sampa kulluta apamuy!
Morado	Sani
Encontré una flor morada.	Sani waytata tarikamuni
Fruto de un cactus.	Sankayu.
El fruto maduro del cactus es muy rico.	Miskikullanmi sankayu puqurquspanqa.
Brasa	Sansa
Trae la brasa para hacer fuego.	Sansata apamuy rupachinanchikpaq.
Objeto hecho de arcilla.	Sañu.
Olla de barro.	Mitu manka.
Codo	Sapa
Cada día debemos hacer algo.	Sapa punchawmi imallatapas rurana.
Solo	Sapalla
Vuela la paloma solitaria.	Sapallan urpi pawan.
Raíz	Sapi
Si se pudre la raíz el árbol se muere.	Sapin ismurquptinqa sachaqa wañurqunmi.
Poroso	Sapsa
Liviano	Sapsa
Aquella piedra por ser porosa es liviana.	Wak rumiqa sapsa kaspa, mana llasayniyuq.
Maíz	Sara
Existe una gran variedad de maices.	Imaymana rikchaq sarakunam kan.
Pisar	Saruy
¡No pises el maíz!	¡Ama sarata saruychu!
Almohada	Sawna
En mi cama no hay almohada.	Puñunaypiqa manam sawnaqa kanchu.
Esperanza	Saywa
En las abras hay muchos hitos.	Apachitakunapi achkam saywakuna.
Saywita, espero encontrarte igual a mi retorno.	Saywachalláy rumi chayllapim kanki kutimunaykama.
Posadera	Siki
Los músicos terminan en la posadera.	lskaynin chankaqa sikipim tukun.
Cadera.	Siki pata.
No puede caminar porque se ha golpeado la cadera.	Manam puriyta atinchu siki patantam takakurqun.
Uña	Sillu
Las uñas de las aves son como las garras del gato.	Misipahinam pisqukunapa sillunqa.
Boca	Simi
En boca cerrada no entran moscas.	Simi wichqasqapiqa manam chuspi yaykunchu.
Trenza	Simpa
La mujer se ve hermosa con la trenza.	Simpanwanmi warmiqa sumaqcha.
Trenzar	Simpay
Todos los días se trenza el cabello.	Sapa punchawmi chukchanta simpakun.
Nariz	Sinqa
Aquel hombre tiene buena nariz.	Allin sinqayuqmi wak runaqa.
Ordenar	Sinriy
Estoy ordenando los palos.	Allin sinqayuqmi wak runaqa.
Mujer joven.	Sipas.
Las mujeres del colegio son jóvenes todavía.	Allin sinqayuqmi wak runaqa.
Subir	Siqay
Sube al segundo piso.	Altusman siqay.
Fila	Siqi
Línea	Siqi
Dibujo	Siqi
Los hombres se paran en la fila.	Altusman siqay.
Trazar una línea.	Siqiy
Dibujar	Siqiy
Estoy trazando una línea en el suelo.	Allpapim siqichkani.
Escocer	Siqsiy
Dar comezón.	Siqsiy.
La hortiga produce comezón.	Itanaqa llumpaytam siqsichikun.
Ojota	Siquy
Las ojotas de mi abuelo no se acaban.	Awiluypa siquynin manam tukurikunchu.
Cicatriz	Siratu
Es un hombre con una cicatriz en la cara.	Siratu uya runam.
Coser	Siray
Coseré mis pantalones rotos.	Siratu uya runam.
Venas	Sirka
Se ha cortado las venas.	Sirkanta kuchukurqun.
Flor	Sisa
El pájaro está picoteando las flores de las habas.	Hawaspa sisanta pisqu tuspachkan.
Hormiga	Sisi
Hay muchísima hormiga debajo de la cabuya seca.	Sisim wampukuchkan chaki paqpa sikinpi.
Cebada	Siwara
Hacen machka de la cebada.	Siwaramantam machkata ruranku.
Anillo	Siwi
Está mandando a hacer un anillo de oro para dárselo a su esposa.	Quri siwitam rurachimuchkan warminman qunanpaq.
Cebolla	Siwulla
Ha sembrado harta cebolla para vender.	Achkatam siwullata rantikunanpaq tarpurqun.
Paralítico	Suchu
Mi abuelo se ha vuelto paralitico.	Suchuyarqunmi awiluy.
Retirarse	Suchuy
Me retiraré porque no podré estar aqui.	Manam kaypiqa kaymanchu suchukusaqmi.
Surco	Suka
Los surcos deben abrirse más para sembrar la papa.	Papa tarpunapaqqa hatun hatunmantam sukata kichana.
Silbar	Sukay
Camino silbando.	Sukakustin purini.
Lagarto	Sukullukuy
Lagartija	Sukullukuy
La lagartija está soléandose.	Sukullukuy rupaychakuchkan.
Rocío	Sulla
Cuando el follaje de la papa está con rocío no debe aporcarse.	Sullapiqa manam papata hallmanachu.
Hijo menor.	Sullka.
La menor de él es una mujercita.	Paypa sullkanqa warmicham.
Feto	Sullu
Aborto	Sullu
El feto de la vaca era grande.	Wakapa sullunqa hatunmi kasqa.
Abortar	Sulluy
La mujer abortó a causa de su antojo no satisfecho.	Munapayay hapirquptin warmi sullurqun.
Hermoso(a)	Sumaq
Mi madre es hermosa.	Sumaqmi mamayqa.
Arreglar	Sumaqchay
Embellecer	Sumaqchay
Arregla la casa para que se vea bien.	Wasita sumaqchay allin kananpaq.
Largo	Suni
Papa larga parecida al bastón.	Tawnahina suni papa.
Barba	Sunka
Los niños no tienen barba.	Warmakunaqa manam sunkayuqchu.
Corazón	Sunqu
Había sacado el corazón del animal.	Uywapa sunqunta hurqurqa.
Pedo	Supi
El burro que carga bastante peso arroja mucho pedo.	Asnu llumpayta qipispam supita kachaykun.
Calzado	Suqru
Mis zapatos me están apretando.	Suqruy matiwachkan.
Carrizo	Suqus
Caña hueca.	Suqus.
Hacen una recogedora de tuna del carrizo.	Suqusmanta pallanata ruranku.
Panca de maíz.	Suqutu.
Vamos a sacar pancas para hacer humitas.	Humintanapaq suqututa hurqusun.
Sorber	Suquy
Nuestros animales están sorbiendo el agua.	Uywanchikkunaqa yakutam suquchkanku.
Avestruz	Suri
El ñandú tiene plumas muy hermosas.	Suriqa sumaq sumaq puruyuqmi.
Pulmones	Surqa
Si se enfrían demasiado los pulmones las personas se enferman.	Llumpay chiri surqamanman yaykurquptinqa runaqa unqunmi.
Nombre	Suti
El nombre de este animal es chancho.	Kay uywapa sutinqa kuchim.
Describir	Sutichay
Describe a tu pueblo.	Llaqtaykita sutinchay.
Gotear	Sutuy
Está goteando el agua.	Yakuqa sutuchkan.
Ladrón	Suwa
El ladrón se llevó al animal esta noche.	Suwam kunan tuta uywata aparqun.
Robar	Suway
El gato roba la carne de noche.	Misi tuta aychata suwan.
Tener esperanza.	Suyapakuy.
Tengo la esperanza de ser un hombre bueno en el futuro.	Paqarin mincha allin runa kaytam suyapakuni.
Esperar	Suyay
¡Espera ahí!	¡Chayllapi suyanki!
Cernidor	Suysuna
Colador	Suysuna
Con el cernidor separa el afrecho de la machca.	Suysunawan machkapa pusunta rakiy.
¡Trae el colador!	¡Suysunata apamuy!
Cernir	Suysuy
Colar	Suysuy
Ciernen el afrecho de la machca.	Machkapa pusunta suysunku.
Región	Suyu
Territorio	Suyu
El nombre de nuestro territorio es Perú.	Suyunchikpa sutinqa Piruwmi.
Provincia	Suyucha
El nombre de nuestra provincia es Huanta.	Suyuchanchikpa sutinqa Wantam.
Cantar	Takiy
Los niños en la escuela cantan con alegría.	Yachay wasipi wawakuna kusikuywan takinku.
Arado	Taklla
Nuestro arado es de lloque.	Ñuqaykupa takllaykuqa Iluqi kaspimantam.
Pequeño	Taksa
Crío un perro pequeño.	Uchuy allqutam uywani.
Mediana	Taksaniraqlla
Vino un hombre de estatura mediana.	Taksaniraqlla runa hamusqa.
Horqueta	Tanka
La horqueta fue hecha del palo de lloque.	Tankaqa Iluqi kaspimanta rurasqam karqa.
Moscón	Tankayllu
Chupador de sangre	Tankayllu
El moscón revolotea sobre mí queriendo chuparme la sangre.	Tankayllum yawarniyta suquyta munaspa muyupayawan.
Rosetas de maíz.	Taqi sara.
Traigo rosetas de maíz.	Taqi saratam apamuni.
Aplaudir	Taqllakuy
Aplauden después de escuchar la canción.	Takiqta uyarispa taqllakunku.
Dar palmadas.	Taqllapay.
A su amigo le palmeó en la espalda.	Takiqta uyarispa taqllakunku.
Callo	Taqri
Cuando camina le duele el callo de los pies.	Chakipa taqrin puriptin nanan.
Estiércol de ovinos, cabras y camélidos.	Taqya.
Sembrar	Tarpuy
Siembra	Tarpuy
Siembra maíz blanco.	Yuraq sarata tarpun.
Ya está grande nuestra siembra.	Hatunñam tarpuyniyku kachkan.
Flauta de madera.	Tarqa.
Durante la limpieza de la acequia tocan la flauta de madera.	Yarqa aspiypi tarqata waqachinku.
Venado	Taruka
La carne del venado es muy agradable.	Tarukapa aychanqa miskikullanmi.
Chocho	Tarwi
Cocinan picante de chocho para los trabajadores.	Tarwi pikantita Ilamkaqkunapaq yanukunku.
Rebalsar	Tasnuy
El líquido de la olla está rebalsando.	Manka tasnuchkan.
Paso	Tatki
Los pasos de la mujer son cortos.	Warmipa tatkinqa uchuyllam.
Metro	Tatki
La puerta de mi casa mide dos metros de alto.	Wasiypa punkunqa iskay tatkin sayaynin.
Bastón	Tawna
El bastón de mi abuelo es de lloque.	Awiluypa tawnanqa Iluqimantam.
Padre	Tayta
Debemos querer a nuestros padres.	Taytanchiktaqa kuyapayanam.
Grasa congelada.	Tikayasqa.
Está sirviendo la sopa con grasa congelada.	Tikayasqatam chupita qaramuchkan.
Congelar	Tikayay
Los bordes del río no se habían congelado.	Mayupa patankuna tikayarqusqa.
Voltear	Tikray
Vamos a voltear la grama.	Champata tikrasunchik.
Tijeras	Tihras
Corta la bayeta con las tijeras para coser.	Siranapaq tihraswan awasqata kaptay.
Ya está hirviendo el agua.	Yaku timpuchkanñam.
Tumbo	Tintin
El fruto del tumbo es medio agrio.	Qatqiniraqmi tintinpa mikuyninqa.
Tambor pequeño.	Tinya.
Tinya	Tinya
Cantan bien tocando la tinya en el díade los animales.	Uywakunapa punchawninpi tinyawan miskita takinku.
Imperdible	Tipana
Prendedor	Tipana
Asegura con el imperdible tu mantita.	Pulluykita hapichiy tipanawan.
Despancar	Tipiy
En la noche de luna llena despancaremos el maíz.	Hunta killapi sarata tipimusun.
Pelar	Tipllay
Pela la cáscara de la papa cocida.	Yanusqa papapa qaranta tipllay.
Sartén	Tiqtina
Ha comprado una sartén nuevo.	Musuq tiqtinata rantirqamun.
Freir	Tiqtiy
Está friendo la carne para su fiambre.	Quqawninpaq aychata tiqtichkan.
Escarmenar	Tisay
Está escarmenando harta lana.	Achka millwatam tisachkan.
Libélula	Tisi tisi
La libélula ingresó a mi casa.	Tisi tisim wasiyman yaykurqamun.
Plomo	Titi
Los hombres antiguos tapaban con plomo los huecos del cráneo.	Titiwan, ñawpa runakunaqa, umata uchkuspa wichqaqku.
Asiento	Tiyana
Está descansando en el asiento de madera.	Qiru tiyanapim samachkan.
Punzar	Tuksiy
Herir	Tuksiy
Para matar al chancho punzan su corazón.	Kuchi wañuchinankupaq sunqunta tuksinku.
Búho	Tuku
Ellos camina hondeando búhos.	Tuku warakaypim paykuna purichkanku.
Fogón	Tullpa
¡Mete leña al fogón!	¡Tullpaman yantata winay!
Teñir	Tullpuy
Hay que teñir de negro el pantalón blanco.	Yuraq warata yanaman tullpuna.
Arete	Tulumpi
Los aretes de mi mujer son de oro.	Warmiypa tulumpinqa qurillamantam.
Culpar	Tumpay
Imputar	Tumpay
A mi hermano lo culparon por el hombre que apareció muerto.	Runa wañusqa rikurisqanmanta turiyta tumpaykun.
Mortero	Tunaw
Moledor	Tunaw
El moledor del batán se hace de la piedra alaymosca.	Tunawqa alaymuska rumimanta rurasqam.
Laringe	Tunquchi
La laringe del animal es grande.	Uywapa tunqurinqa hatunmi.
Tráquea	Tunquri
Si es que entra la comida a la tráquea nos atoramos.	Tunquriman mikuy yaykuptinqa hiqipanchikmi.
Junta	Tunta
La tunta es una comida muy suave.	Tuntaqa Ilampuy Ilampuy mikuymi.
Tallo	Tunu
El tallo del árbol grande es grueso.	Hatun sachapa tununqa rakum.
Picotear	Tuspay
La gallina picotea al gusano.	Wallpa uruta tuspan.
Picotear una y otra vez.	Tuspapayay.
La gallina le picotea frecuentemente al chancho.	Wallpa kuchita tuspapayan.
Saliva	Tuqay
Escupir	Tuqay
Cuando hablo mucho mi saliva se seca.	Tuqayniymi anchata rimaptiy chakin.
No escupas.	Ama tuqaychu.
Cilindro	Tuquru
Recipiente	Tuquru
Lleva agua a la casa en el cilindro.	Tuqurupi yakuta wasiman apay.
Hermano de la mujer.	Turi.
El hermano de la china viajó a Lima.	Chinapa turinqa Limatam illakun.
Tallar	Turpay
Estoy tallando madera para hacer cucharón.	Wisllapaqmi turpachkani.
Toro	Turu
Este toro ya tiene tres años.	Kay turuqa kimsa watayuqñam.
Pico	Tuspa
El pico del gallo es puntiagudo.	Utulupa tuspanqa ñawchim.
Bailar	Tusuy
Baile	Tusuy
Escuchando el huaino las mujeres gozaron bailando.	Waynuta uyarispa warmikuna tusukuykunku.
Cada pueblo tiene bailes diferentes.	Sapa Ilaqtapam imayna tusuynin kan.
Noche	Tuta
Esta noche no hay luna.	Kunan tutaqa manam killa kanchu.
Remolino de viento.	Tutur.
Aparece un remolino de viento cuando está por llover.	Paranayamuptin tutur wayra rikurimun.
Calandria	Tuya
La calandria y el zorzal se odian.	Chiwakuwan tuyaqa chiqninakunmi.
Flotar	Tuytuy
Flota por un tiempo prolongado.	Unay unaytam tuytun.
Tormenta	Tuyu
Cuando llega la tormenta la avenida se lleva la sementera.	
Remar	Tuyuy
Nadar	Tuyuy
Los que viven en la selva reman muy bien.	Yunkapi yachaqkunaqa allintam tuyunku.
La gente nada en el río muy bien.	Runaqa allintam mayupi tuytun.
Ceniza	Uchpa
La ceniza es buena para matar las enfermedades de las plantas.	Uchpaqa sachapa urunkuna wañuchinapaq allinmi.
Ají	Uchu
Muele el ají juntamente con el queso para comerlos con la papa.	Uchu kachipantinta kutay papawan mikunapaq.
Pequeño	Uchuy
Habías comprado un pantalón pequeño.	Uchuy warata rantirqamusqanki.
Tos	Uhu
Ya son dos días que está tosiendo.	Iskay punchawñam uhusqanqa.
Dentro	Uku
El gato está dentro de la casa.	Misiqa wasi ukupim kachkan.
Ratón	Ukucha
Pericote	Ukucha
El gato está persiguiendo al ratón.	Ukuchatam misi qatikachachkan.
Oso	Ukuku
El oso vive en el ártico, en la puna o en la selva.	Ukukuqa ritipipas, sunipipas, yunkapipas yachanmi.
Gallinazo	Ullatu
El gallinazo se alimenta de la carne sobrada por los carnívoros.	Saqisqa aychata ullatuqa mikun.
Pene	Ullu
El pene del bebé se ha escaldado.	Wawapa ulluchanmi Ilillirqun.
Papa lisa	Ulluku
Olluco	Ulluku
Prepárame picante de olluco.	Ulluku pikantita yanupuway.
Cabeza	Uma
En la cabeza se encuentran: la nariz, los ojos, la boca, las orejas y la cara.	Umapim rinri, ñawi, simi, uya, sinqa kan.
Dirigente	Umalliq
El dirigente de nuestro pueblo es muy elocuente.	Llaqtanchik umalliq runaqa allin rimayniyuqmi.
Mareo	Uma muyu
Me dio mareo.	Uma muyum hapirquwan.
Inteligente	Umayuq
A diferencia de los animales, ¿el hombre es muy inteligente?	Uywamantaqa runaqa umayuqchu.
Piedra preciosa.	Umiña
Estoy buscando una esmeralda.	Qumir qispi umiñata maskachkani.
Enano	Umutu
El enano vien lentamente.	Umutu allinllamanta hamuchkan.
Cría	Uña
La cría de la vaca corretea.	Wakapa uñan pawaykachan.
Bandera	Unancha
La bandera del Perú tiene los colores rojo y blanco.	Piruw suyunchikpa unanchanqa pukawan yuraq Ilimpiyuqmi.
Camisa	Unku
Compraré una camisa nueva de algodón.	Utkumanta rurasqa musuq unkutam rantimusaq.
Enfermo	Unquq
Embarazada	Unquq
El niño está enfermo.	Warmachaqa unquchkanmi.
Ya son tres meses que está embarazada.	Kimsa killatañam unquchkan.
Enfermedad	Unquy
Enfermarse	Unquy
Tiene una enfermedad contagiosa.	Ratakuq unquymi hapirqun.
Mi abuela se enfermó.	Hatun mamayqa unquchkanmi.
Tonto	Upa
Sordo	Upa
Hay un hombre tonto en mi pueblo.	Huk upa runam Ilaqtaypi kan.
Mi abuelo ya no escucha.	Awiluyqa upañan kachkan.
Lavarse la cara.	Upakuy
Todos los días debemos lavarnos la cara.	Sapa punchawmi uyanchiktaqa upakuna.
Anemia	Upichu
Por no alimentarse bien se encuentra anémico.	Mana allinta mikuspanmi upichusqa kachkan.
Beber	Upyay
Tomar	Upyay
La gente liba en los días festivos.	Hatun punchawkunapi runakuna upyanku.
Oca	Uqa
La oca se siembra igual que la papa.	Uqata tarpuna papatahinam.
Plomo	Uqi
Él llegó con el rostro plomizo en el frío.	Uqi uqi uyayuqmi chiripi chayarqamun.
Ano	Uqiti
Después de defecar debe limpiarse bien el ano.	Akayta tukuruspaqa allintam uqitita pichakuna.
Renacuajo	Uqullu
Vamos a estudiar a los renacuajoes en el puquial.	Pukyupi uqulluchakunata riqsimusun.
Berro	Uqu ruru
El berro es bueno para curar el hígado.	Pukyupi uqulluchakunata riqsimusun.
Parte baja.	Uray.
Va hacia abajo corriendo.	Kallpayllam uraytaqa rin.
Bajar algo.	Uraykachiy.
Baja tu bulto para que descanses.	Qipiykita uraykachiy samanaykipaq.
Paloma	Urpi
La paloma es un ave tranquila y bondadoso.	Urpiqa Ilampu sunquyuq hawka yachakuqmi.
Cerro	Urqu
El venado vive en los cerros más alejados y desolados.	Chunyaq urqukunapim taruka yachan.
Animal macho.	Urqu.
El perro macho duerme.	Urqu allquqa puñuchkan.
Gusano	Uru
Aparecen muchos gusanos cuando se siembra el maíz.	Sara tarpukusqaqa manchanasmi uru rikurimun.
Abeja	Urunquy
La abaeja vive en las colmenas.	Urunquyqa achka achka huñunasqam yachan.
Piojo	Usa
Curaremos a la ternera de la piojera.	Uña wakata usamanta hampisun.
Gato montés.	Usqu misi.
el gato montés no podría entrar a la casa.	Manam wasiman usqu misiqa yaykumunmanchu.
Introducir	Ustuchiy
Ensarta el maíz con el hilo.	Sarata uchkuspa qaytuta ustuchiy.
Introduce el hilo en la aguja gruesa.	Qaytuta ustuchiy yawriman.
Penetrar	Ustuy
Deslizarse	ustuy
Deslízate a la cama para que duermas.	Puñunaykipaq puñunaman ustuy.
Hija del padre.	Ususi.
Ya está joven la hija del profesor.	Sipasñam yachachiqpa ususinqa (churinqa).
Sufrir	Usuy
Padecer	Usuy
Sufro mucho por la muerte de mis padres.	Tayta mamay wañuptinmi ususqayta usuni.
Algodón	Utku
La ropa de los hombres antiguos estaba confeccionada a base de algodón.	Ñawpa runakunapa pachanqa utkumanta rurasqam karqa.
Rápido	Utqay
Traeré rápido el agua para cocinar la comida.	Utqayllaman mikuy yanukunapaq yakuta apamusaq.
Gallo	Utulu
El gallo rojo ha domado a la gallina negra.	Puka utuluqa yana wallpata sarurqun.
Jaguar	Uturunku
La pantera no come a las personas.	Uturunkuqa manam runataqa mikunchu.
Ovino	Uwiha
Oveja	Uwiha
La carne de la oveja no es muy agradable.	Uwihapa aychanqa manam llumpay miskichu.
Cara	Uya
Cuando envejecemos la piel de la cara comienza a arrugarse.	Machuyasqa uyapa qaran sipuyanñam.
Oir	Uyariy
Escucho todos los días el canto del cuculí.	Sapa punchawmi kukulipa takisqanta uyarini.
Pedir	Uyllay
Por favor, dame pan.	Amahina kaspayki tantaykita quykuway.
Buche	Uytu
Se debe comer el buche de la gallina.	Wallpa uytuta mikunam.
Animal	Uywa
El ratero robó del corral todo el ganado.	Kanchantin uywatam runa suwarqun.
Criar ganado.	Uyway
Cría gallinas y chanchos en su casa.	Wasinpi wallpakunata kuchikunanta uywan.
Parir	Wachakuy
Dar a luz.	Wachakuy.
La mujer dio a luz un niño.	Wasinpi wallpakunata kuchikunanta uywan.
Flecha	Wachi
Con la flecha cazan chanchos salvajes.	Wachiwan purun kuchita hapinku.
Camellón	Wachu
Construyen camellones para que no se pudra la comida con el exceso de lluvia.	Para quchaptin mana mikuy ismunanpaq wachuta ruranku.
Vaca	Waca
De la leche de la vaca hacen quesos.	Wakapa lichinmanta kachipata ruranku.
Papagayo.	Waka mayu.
El guacamayo imita lo que el hombre habla.	Waka mayuqa runa rimasqanta yachapayan.
Esparcir	Wakay
Habían esparcido la cebada.	Siwaratam wakarqusqaku.
Pobre	Wakcha
Los años anteriores aparecieron muchos niños huérfanos.	Qayna watakuna achkam wakcha wawakuna rikurirqa.
Debido a la avalancha el pueblo quedó pobre.	Wasinkuta lluqlla aparquptin Ilaqta wakchayarqun.
Tronar	Wakriy
Está tronando el cielo; va a llegar una tormenta.	Wakrimuchkanmi; luku param chayarqamunqa.
Ganso andino.	Wallata.
La huallata tiene el plumaje de color blanco y negro.	Yuraqwan yanawan puruyuqmi wallataqa.
Gallina	Wallpa
La carne de gallina es muy buena para las parturientas.	Wallpa aychaqa unquq warmikunapaq allinmi.
Collar	Wallqa
El día que se les pone cintas a los animales también se les coloca collares de frutas y comida a los que pastan.	Uywa sintachina punchaw michiqkunaman wallqata churanku.
Axila	Wallwaku
Cuando se llega a joven crece vello en las axilas.	Hatunyasqaqa wallwakupi chukcha wiñamun.
Halcón	Waman
Cuando vuela el gavilán le persigue el halcón.	Anka pawaptin wamanchaqa qatikachan.
Fruto de un cactus.	Wanachu
Es muy difícil coger el wanachu por eso solo se lo comen los pájaros.	Sasa sasam wanachu pallayqa, chaymi pisqukunalla mikukun.
Guanaco	Wanaku
En el guanaco no se puede cargar bultos.	Wanakupiqa manam qipita apachuwanchu.
Envolver	Wankiy
Vendar	Wankiy
Voy a envolver su rodilla con esta faja.	Kay chumpiwan muqunta wankirqusaq.
Abeja	Wanquyru
Vamos a sembrar flores para la avejas.	Wanquyrupaqmi waytakunata tarpusun.
Enfermedades venéreas.	Wanti.
Las enfermedades venéreas aparecen en forma de úlceras en los genitales de las personas.	Pusullu pusulluhinam wanti runapa ispakunanpi rikurimun.
Estiércol extraído de corral.	Wanu.
Abono	Wanu
Despedicio	Wanu
Con el abono del cuy se logra buena producción de maíz.	Quwi wanuwanqa allintam sara qispin.
Agonizante	Wañunayaq
El hombre que estaba por morir reaccionó.	Wañunayaq runa kawsarirqamusqa.
Morir	Wañuy
El perro murió por enfermedad.	Allquqa unquywan wañun.
Zancudo	Wanwa
El zancudo solo de noche busca su comida.	Wanwaqa tutallanmi mikuyninta maskan.
Gaseoso	Wapsi
Vaho	Wapsi
El aire que respiramos es un vaho.	Samasqanchik wayraqa wapsihinam tarikun.
Pájaro bobo.	Waqana.
En mi pueblo no existe el pájaro bobo.	Llaqtaypiqa manam waqana kanchu.
Garza	Waqar
La garza vive en las orillas de los ríos.	Waqarqa mayukuna patankunapim yachan.
Llorón	Waqati
Tacaño	Waqati
Es demasiado llorón este niño.	Llumpay waqatim kay warmaqa.
El tacaño, es posible que no te invite comida.	Waqatiqa manam mikuyllatapas mikuchisunkimanchu.
Llorar	Waqay
El bebé está llorando por dolor de estómago.	Wawa wiksa nanaywan waqachkan.
Cuidar	Waqaychay
Guardar	Waqaychay
Vamos a cuidar a nuestras ovejas.	Uwihanchikta waqaychamusun.
Cuernos	Waqra
Asta	Waqra
Los cuernos de la taruka crecen como ramas.	Tarukapa waqranqa pallqa pallqam wiñan.
Cornetero.	Waqra Pukuq.
El cornetero toca la trompeta de cuerno en las corridas de toros.	Turu pukllaypaqmi waqrata waqra pukuq waqachin.
Ladera	Waqta
No lleves a lugares muy inclinadas a los animales, podrían rodar.	Amam Ilumpay waqtakunaman uywata kachaykunkichu, kuchpakarqamunmanmi.
Pantalón	Wara
El pantalón se confecciona tanto de algodón como de lana.	Warataqa utkumantapas millwamantapas sirankum.
Mil	Waranga
En nuestro pueblo no hay ni mil personas.	Llaqtanchikpi manam waranqa runapas kanchu.
Especie de cacto pequeño.	Waraqu.
El huaraco no crece muy alto.	Waraquqa manam Ilumpaytachu wiñan.
Mujer	Warmi
Esposa	Warmi
Su mujer es muy cariñosa.	Kuyaysapa kuyaysapam warminqa.
Espalda	Wasa
¡Carga la leña en la espalda!	¡Wasapi yantata qipiy!
Casa	Wasi
Edifican la casa a base de tapia en los pueblos pequeños.	Uchuy Ilaqtakunapi tapyawan wasita ruranku.
Construir casa.	Wasichay.
Techar	Wasichay
Construyen la casa comunal para sus reuniones.	Ayllu huñunakunankupaq wasichachkanku.
Están techando la casa con paja.	Ichuwan wasichachkanku.
Soga	Waska
Llevan la leña amarrada con soga en el burro.	Waskawan liyaspa yantata asnupi qipinku.
Año	Wata
El planeta tierra da vueltas alrededor del sol en un año.	Huk watam tiqsi pacha intita muyun.
Atar	Watay
Amarrar	Watay
Amarraron al burro.	Asnuta watarqusqaku.
Soguilla	Watu
Cordel	Watu
Tú habías nacido para llevarte a todo lugar, siempre amarrado con soga de cuero de chancho.	Kuchi watuwan wataspa aysakachanam kasqanki.
Adivinanza	Watuchi
Los abuelos conocen hartas adivinanzas.	Achka watuchitam awilukuna yachanku.
Hacer adivinanzas.	Watuchiy.
En el velorio la gente dice adivinanzas.	Aya ratachikuypi runakuna watuchinku.
Pachamanca	Watya
En los días festivos hacen pachamanca en mi pueblo.	Hatun punchawkunapi Ilaqtaypi watyata ruranku.
Bebé	Wawa
El niño enfermo ya se encuentra bien.	Unquq wawa allinñam kachkan.
Hermano	Wawqi
Entre hermanos van a la escuela.	Wawqipura yachay wasiman rinku.
Suelto	Waya
Flojo	Waya
Se había puesto pantalones sueltos.	Waya warawan churakarqamusqa.
Golondrina	Wayanay
Las golondrinas vuelan sin aletear.	Mana rapranta kuyuchispallam wayanay pawan.
Bolsa tejida.	Wayaqa.
Todos los días lleva a la escuela su cuaderno y su libro en una bolsa.	Wayaqapi qillqa maytuntawan qillqana rapita sapa punchaw yachay wasiman apan.
Bayeta	Wayita
Los hombres antiguos cosían sus pantalones de bayeta.	Ñawpa runakunaqa waranta wayitamantam siraqku.
Prado	Waylla
Pradera	Waylla
¡Vamos al prado a pasear!	¡Wayllaman haku purikuq!
Columpio	Wayllunku
Los niños juegan contentos en el columpio.	Wayllunkupi warmakuna sumaqtam pukllanku.
Barranco	Wayqu
Mi vaca se cayó al barranco.	Wakayqa wayqutam wichiykurqa.
Flor	Wayta
La flor de la haba es blanca y negra.	Hawaspa waytanqa yanawan yuraqmi.
Nadar	Waytay
Los niños nadan bien en el río.	Allintam mayupi warmakuna waytanku.
Ardilla	Waywacha
La ardilla es un animalito muy bonito.	Waywachaqa kuyayIlapaq uywam.
Arriba	Wichay
Camina hacia arriba.	Wichayman riy.
Cerrar	Wichqay
¡Cierra la puerta!	¡Punkuta wichqay!
Tobillo	Wichuchu
Me pateó en mi tobillo.	Wichuchuypim haytarquwan.
Barriga	Wiksa
Estómago	Wiksa
Le ha crecido demasiado el estómago.	Manchanasta wiksan wiñarqun.
Vicuña	Wicuña
La lana de la vicuña tiene mucho valor.	Wikuñapa millwanqa sinchi chaninyuqmi.
Conjuntivitis	Wilkachuqa
Los que viven en Lima se enferman de conjuntivitis.	Lima llaqtapi yachaq runakunaqa wilkachuqawanmi unqunku.
Cuento	Willakuy
Narración	Willakuy
Los abuelos saben cuentos hermosos.	Sumaq willakuykunatam awilukuna yachan.
Acusar	Willapay
Su amiga la alertó a mi madre.	Puriq masinmi mamayta willapaykun.
